# plancktons export
# algorithm_version=2
# commit=22ed7bd
# build_time=2026-05-17T18:03:32.819Z
# export_time=2026-05-17T18:03:33.595Z
# n_trials=500
# startSeed=1
# chiralityBias=0.25
# strategy=compact
# compactBeta=3
# N=50
trial,N,seed,V,Vbbox,Vstar,efficiency,bboxEfficiency,surface,rg,kappaSq,prolateness,meanCoord,maxCoord,meanTetCoord,chirR,ms
0,50,1,18,36,8.333333333333334,0.462962962962963,0.2314814814814815,55.18376618407352,1.3609739159881045,0.028182046542271837,0.002613156036303504,5.882352941176471,25,2.24,19,28.381950000000018
1,50,9974,18,36.00000000000001,8.333333333333334,0.462962962962963,0.23148148148148145,49.28427124746186,1.4511891675450164,0.14162712622704096,0.08999135673829886,5.882352941176471,19,2.36,20,13.194705999999996
2,50,19947,19.833333333333332,47.99999999999999,8.333333333333334,0.4201680672268908,0.17361111111111116,50.355339059327335,1.473567100609945,0.06363295068297646,0.014414982945191413,5.714285714285714,19,2.4,20,7.291318999999987
3,50,29920,18.999999999999996,48,8.333333333333334,0.43859649122807026,0.17361111111111113,51.18376618407352,1.4673104647619741,0.07612877310286968,0.0204171669457367,5.714285714285714,19,2.4,19,8.42470800000001
4,50,39893,18.166666666666657,47.99999999999999,8.333333333333334,0.4587155963302755,0.17361111111111116,45.69848480983496,1.3443957750603055,0.04711850090334127,-0.010571841616663122,5.714285714285714,26,2.52,19,8.501490999999987
5,50,49866,25.5,48,8.333333333333334,0.32679738562091504,0.17361111111111113,52.59797974644661,1.6053504290341096,0.12232965398246047,0.018308380588983618,5.2631578947368425,16,2.36,19,14.453919000000042
6,50,59839,23.666666666666657,47.99999999999999,8.333333333333334,0.35211267605633817,0.17361111111111116,46.11269837220806,1.423990870757253,0.02664656846919682,0.0013237924832141625,5.405405405405405,23,2.52,20,9.886639000000002
7,50,69812,16.499999999999996,27.00000000000001,8.333333333333334,0.5050505050505052,0.3086419753086419,48.52691193458115,1.339925371056165,0.05161072268046165,-0.013024296947286369,6.666666666666667,21,2.44,19,12.528526
8,50,79785,12.5,18.000000000000014,8.333333333333334,0.6666666666666667,0.46296296296296263,50.52691193458116,1.3821902908065875,0.08347535469464117,0.020162626980379617,6.451612903225806,22,2.36,18,6.908587000000011
9,50,89758,18.499999999999996,27.00000000000001,8.333333333333334,0.45045045045045057,0.3086419753086419,56.76955262170043,1.3706202975295527,0.010697501890801712,0.0021299851662108806,5.555555555555555,20,2.16,19,8.105785000000026
10,50,99731,14.66666666666666,47.999999999999986,8.333333333333334,0.5681818181818185,0.1736111111111112,49.355339059327335,1.3028238560910688,0.034467329096311006,0.0041451966265627915,6.896551724137931,19,2.44,20,10.688752000000022
11,50,109704,18.33333333333333,47.99999999999999,8.333333333333334,0.4545454545454547,0.17361111111111116,49.52691193458115,1.4195597909211146,0.1501291839812764,0.09478385178791576,6.0606060606060606,21,2.4,23,8.066502000000014
12,50,119677,13.833333333333327,18.000000000000007,8.333333333333334,0.6024096385542171,0.4629629629629628,47.52691193458115,1.3192232563141082,0.018632803363385304,-0.002709651733795901,6.25,25,2.48,19,5.895832000000041
13,50,129650,16.666666666666664,36.00000000000001,8.333333333333334,0.5000000000000001,0.23148148148148145,48.11269837220806,1.303265130355293,0.024601960083742883,0.007631950481403776,6.0606060606060606,27,2.44,19,5.4951469999999745
14,50,139623,16,36,8.333333333333334,0.5208333333333334,0.2314814814814815,44.11269837220806,1.3758997056471807,0.07702535948708761,0.009560328802998147,6.451612903225806,21,2.6,21,5.228480999999988
15,50,149596,15.833333333333329,24.000000000000014,8.333333333333334,0.5263157894736844,0.34722222222222204,45.698484809834966,1.3693246510597845,0.08800597366326691,0.03278816173048415,5.882352941176471,23,2.52,18,6.8185399999999845
16,50,159569,16.66666666666666,36,8.333333333333334,0.5000000000000002,0.2314814814814815,44.94112549695424,1.4108685268301926,0.12943320473253103,0.07620998174696818,6.25,21,2.6,19,5.14971300000002
17,50,169542,15.16666666666666,32.000000000000014,8.333333333333334,0.5494505494505497,0.2604166666666666,46.698484809834966,1.4523257210419434,0.14448052876243447,0.06170373217793437,5.555555555555555,22,2.48,20,6.1061540000000605
18,50,179515,18.33333333333332,47.999999999999986,8.333333333333334,0.45454545454545486,0.1736111111111112,44.69848480983496,1.3780783722270658,0.036280016140827834,0.011081065802182724,6.25,24,2.56,20,6.066009000000008
19,50,189488,17.333333333333332,47.999999999999986,8.333333333333334,0.48076923076923084,0.1736111111111112,55.59797974644661,1.4217418893737361,0.04816538591897401,-0.009866069666467277,6.25,22,2.24,15,5.923234000000093
20,50,199461,14.166666666666663,36.00000000000001,8.333333333333334,0.5882352941176473,0.23148148148148145,41.28427124746187,1.3154086817411534,0.04078677859367489,0.00687577852870972,6.666666666666667,22,2.68,21,10.215892000000053
21,50,209434,15.66666666666666,27,8.333333333333334,0.5319148936170215,0.308641975308642,43.69848480983497,1.3737357824560001,0.12453752798996798,0.059030938641624606,6.666666666666667,24,2.6,18,6.6408179999999675
22,50,219407,16.499999999999993,35.99999999999999,8.333333333333334,0.5050505050505053,0.23148148148148154,50.941125496954236,1.37715286007037,0.052257514270643964,-0.018595605676648655,6.0606060606060606,22,2.36,21,6.27963699999998
23,50,229380,17.666666666666664,47.999999999999986,8.333333333333334,0.4716981132075473,0.1736111111111112,57.59797974644661,1.3725523669426958,0.03186099923647542,0.005351360104105852,5.714285714285714,17,2.16,21,8.53097600000001
24,50,239353,17.833333333333336,48,8.333333333333334,0.4672897196261682,0.17361111111111113,51.769552621700434,1.3475347861929212,0.05224915419702987,-0.00039836606461871195,5.882352941176471,18,2.36,19,7.560040000000072
25,50,249326,14.833333333333334,18.000000000000007,8.333333333333334,0.5617977528089888,0.4629629629629628,49.52691193458116,1.3141156722298084,0.02541413269989758,-0.001346833783829905,6.0606060606060606,21,2.4,20,7.108218000000079
26,50,259299,16.666666666666664,27.000000000000007,8.333333333333334,0.5000000000000001,0.3086419753086419,46.355339059327335,1.296765206195786,0.014762315759265067,0.00013264443064077205,6.25,22,2.56,21,6.758999000000017
27,50,269272,17.33333333333333,27,8.333333333333334,0.48076923076923095,0.308641975308642,51.355339059327335,1.3424604277221734,0.026088608626793214,0.0054721093163687335,5.882352941176471,21,2.36,18,10.721021999999948
28,50,279245,19.33333333333333,36,8.333333333333334,0.43103448275862083,0.2314814814814815,54.18376618407353,1.3894423341758375,0.00768335751504198,-0.0011020646193932934,5.555555555555555,18,2.28,16,11.63133599999992
29,50,289218,18.33333333333333,35.99999999999999,8.333333333333334,0.4545454545454547,0.23148148148148154,44.52691193458114,1.3543448600707284,0.02408625689509428,-0.002487355316261962,5.882352941176471,20,2.6,22,6.6515889999999445
30,50,299191,18.166666666666668,45.00000000000001,8.333333333333334,0.45871559633027525,0.18518518518518517,57.59797974644662,1.4323931024687317,0.05116408174265218,0.01207374243861909,5.714285714285714,18,2.16,19,8.850190999999995
31,50,309164,21.499999999999996,47.99999999999999,8.333333333333334,0.3875968992248063,0.17361111111111116,54.941125496954236,1.4063605512101076,0.048982420775748645,0.009227464301885048,5.555555555555555,25,2.2,17,8.751207000000022
32,50,319137,18.999999999999996,36.00000000000001,8.333333333333334,0.43859649122807026,0.23148148148148145,45.11269837220806,1.3738449694197665,0.05476695643204674,-0.0065539194505047135,5.882352941176471,18,2.56,20,5.9676860000000715
