# plancktons export
# algorithm_version=2
# commit=22ed7bd
# build_time=2026-05-17T18:03:43.181Z
# export_time=2026-05-17T18:03:43.816Z
# n_trials=500
# startSeed=1
# chiralityBias=0.5
# strategy=compact
# compactBeta=1
# N=50
trial,N,seed,V,Vbbox,Vstar,efficiency,bboxEfficiency,surface,rg,kappaSq,prolateness,meanCoord,maxCoord,meanTetCoord,chirR,ms
0,50,1,24.49999999999999,47.99999999999999,8.333333333333334,0.34013605442176886,0.17361111111111116,55.59797974644661,1.4282156699882544,0.07068284178479017,0.01820268850607277,5.128205128205129,17,2.24,24,13.507597999999973
1,50,9974,24,48.00000000000001,8.333333333333334,0.34722222222222227,0.1736111111111111,52.355339059327335,1.5083434622127678,0.0766889246752583,-0.016869587921898948,5.2631578947368425,19,2.32,30,7.503885000000025
2,50,19947,21.499999999999996,48,8.333333333333334,0.3875968992248063,0.17361111111111113,58.18376618407352,1.4545102268461365,0.07114995463030935,-0.015771529516731275,5.128205128205129,19,2.12,24,8.074557000000027
3,50,29920,23.33333333333332,60.00000000000001,8.333333333333334,0.3571428571428574,0.1388888888888889,55.35533905932733,1.4324280086622148,0.0705876320582195,0.018821665100855617,5.128205128205129,19,2.2,26,6.178418000000022
4,50,39893,20.83333333333332,36,8.333333333333334,0.40000000000000024,0.2314814814814815,46.11269837220806,1.4291955779388623,0.06306381026272942,0.02441513678046782,5.555555555555555,18,2.52,23,4.533066000000019
5,50,49866,16.499999999999996,35.999999999999986,8.333333333333334,0.5050505050505052,0.2314814814814816,48.941125496954236,1.3190337372485967,0.03630234228625641,0.010647055044457386,6.0606060606060606,21,2.44,26,5.644815999999992
6,50,59839,21.166666666666664,64,8.333333333333334,0.3937007874015749,0.13020833333333334,51.11269837220805,1.4899161050206824,0.18035232186682007,0.15266122961226286,5.405405405405405,16,2.32,22,13.375571999999977
7,50,69812,19.66666666666667,48,8.333333333333334,0.42372881355932196,0.17361111111111113,49.941125496954236,1.3435028842544408,0.023119834869284265,-0.0002839462183735463,5.882352941176471,18,2.4,25,8.346733000000029
8,50,79785,23.666666666666657,48,8.333333333333334,0.35211267605633817,0.17361111111111113,52.76955262170043,1.5365383171271716,0.13818131872274633,0.1021073140531883,5.2631578947368425,15,2.32,26,8.329771999999991
9,50,89758,22.33333333333333,36.00000000000001,8.333333333333334,0.3731343283582091,0.23148148148148145,51.52691193458114,1.394435369603052,0.025256793642605725,-0.0027929849944111932,5.405405405405405,18,2.32,26,10.21319699999998
10,50,99731,18.999999999999993,35.999999999999986,8.333333333333334,0.4385964912280704,0.2314814814814816,51.355339059327335,1.3183891686448281,0.010460341649828819,0.0015247374716728834,5.555555555555555,20,2.36,27,9.523814000000016
11,50,109704,23.666666666666664,36.000000000000014,8.333333333333334,0.3521126760563381,0.2314814814814814,52.76955262170043,1.5384570192241314,0.09678587334956189,0.04265253722110384,4.878048780487805,16,2.32,19,6.915300000000002
12,50,119677,29.166666666666654,64,8.333333333333334,0.28571428571428586,0.13020833333333334,52.355339059327335,1.564560641202506,0.1676385956177303,0.10124383885047722,4.761904761904762,15,2.32,23,4.633884000000023
13,50,129650,19.166666666666657,48,8.333333333333334,0.43478260869565244,0.17361111111111113,47.52691193458115,1.4361232537634088,0.02839251767379429,-0.007101073681222023,5.555555555555555,16,2.48,22,4.209865000000036
14,50,139623,23.66666666666666,75,8.333333333333334,0.3521126760563381,0.11111111111111112,53.355339059327335,1.64490121283924,0.27803669234533196,0.2760384020249626,5,17,2.28,27,5.120740000000012
15,50,149596,22.66666666666666,45,8.333333333333334,0.36764705882352955,0.1851851851851852,51.94112549695424,1.5411846093184298,0.09127874362983117,-0.01827969013664484,5,15,2.32,27,4.783071000000007
16,50,159569,21.333333333333336,48.00000000000001,8.333333333333334,0.390625,0.1736111111111111,45.455844122715675,1.3589334052851891,0.03731104500870022,-0.0036821368578261655,5.714285714285714,23,2.48,28,4.083028999999954
17,50,169542,21.166666666666654,47.999999999999986,8.333333333333334,0.39370078740157505,0.1736111111111112,49.11269837220806,1.4514992249395104,0.02692145780878398,-0.00741172269058096,5.405405405405405,20,2.4,24,4.408384000000012
18,50,179515,23.999999999999993,48,8.333333333333334,0.3472222222222224,0.17361111111111113,52.76955262170043,1.388650423972858,0.008955740349615765,-0.00012353713381747395,5.2631578947368425,17,2.32,28,4.190518999999995
19,50,189488,16.83333333333333,36,8.333333333333334,0.4950495049504952,0.2314814814814815,47.11269837220805,1.3364692289761106,0.06293156438588599,0.030130909439019474,6.25,20,2.48,25,4.33698099999998
20,50,199461,27.166666666666654,71.99999999999999,8.333333333333334,0.3067484662576689,0.11574074074074077,56.59797974644661,1.6230988879301222,0.18777733233405583,0.1343679036079772,5.128205128205129,20,2.2,24,8.125462000000027
21,50,209434,18.499999999999996,32.000000000000014,8.333333333333334,0.45045045045045057,0.2604166666666666,48.69848480983496,1.374863629601132,0.053827004455810935,-0.024190307730998208,5.555555555555555,21,2.4,24,6.793633000000057
22,50,219407,21.99999999999999,36,8.333333333333334,0.378787878787879,0.2314814814814815,46.69848480983496,1.4873298221981566,0.11790230582590999,0.03532637797011864,5.2631578947368425,16,2.48,25,4.271889999999985
23,50,229380,18.66666666666666,35.99999999999999,8.333333333333334,0.4464285714285716,0.23148148148148154,52.35533905932734,1.3786225009044362,0.04994749632334733,-0.001933522506305402,5.405405405405405,17,2.32,25,4.20766100000003
24,50,239353,17.166666666666664,35.999999999999986,8.333333333333334,0.4854368932038836,0.2314814814814816,46.28427124746187,1.400767646685202,0.0756628322569491,0.032863604713631075,5.882352941176471,21,2.48,27,3.80331799999999
25,50,249326,21.666666666666657,48,8.333333333333334,0.3846153846153848,0.17361111111111113,53.76955262170043,1.4658615214269042,0.10757124713321109,0.06958187967048803,5.128205128205129,17,2.28,22,4.029879999999935
26,50,259299,17.33333333333333,32.00000000000001,8.333333333333334,0.48076923076923095,0.26041666666666663,49.355339059327335,1.3730986854556375,0.035720025747305595,-0.006033590841337005,5.714285714285714,19,2.44,30,4.647600000000011
27,50,269272,22.333333333333332,63.999999999999986,8.333333333333334,0.373134328358209,0.13020833333333337,47.76955262170043,1.4472214757942197,0.05040298037066626,0.004503194128610096,5.2631578947368425,17,2.52,29,3.5910930000000008
28,50,279245,19.83333333333333,32,8.333333333333334,0.4201680672268909,0.2604166666666667,48.355339059327335,1.394220212161623,0.04893052477632776,0.0007903104615704456,5.714285714285714,24,2.48,26,4.036412000000041
29,50,289218,17.33333333333333,32.00000000000001,8.333333333333334,0.48076923076923095,0.26041666666666663,45.870057685088774,1.4015527103894443,0.0620009913530016,-0.011130065678295999,5.555555555555555,22,2.48,25,6.077390000000037
30,50,299191,20.499999999999996,60,8.333333333333334,0.4065040650406505,0.1388888888888889,47.94112549695424,1.4902181048423746,0.08964065593151527,0.028765171999912686,5.882352941176471,16,2.48,23,8.410993000000076
31,50,309164,19.16666666666666,27,8.333333333333334,0.43478260869565233,0.308641975308642,49.52691193458115,1.4093792960023221,0.05258282433636953,0.0028622321020807455,5.2631578947368425,16,2.4,25,4.166704999999979
