# plancktons export
# algorithm_version=2
# commit=22ed7bd
# build_time=2026-05-17T18:03:52.376Z
# export_time=2026-05-17T18:03:56.399Z
# n_trials=500
# startSeed=1
# chiralityBias=0.5
# strategy=compact
# compactBeta=12
# N=50
trial,N,seed,V,Vbbox,Vstar,efficiency,bboxEfficiency,surface,rg,kappaSq,prolateness,meanCoord,maxCoord,meanTetCoord,chirR,ms
0,50,1,16.999999999999993,36,8.333333333333334,0.4901960784313728,0.2314814814814815,44.04163056034259,1.2612493805746734,0.010983983829783347,-0.0015357104711357034,5.882352941176471,16,2.52,29,107.53315299999997
1,50,9974,20.999999999999996,27.000000000000018,8.333333333333334,0.3968253968253969,0.3086419753086418,54.52691193458115,1.3102099068469903,0.04134064635043903,0.015382469116155605,4.761904761904762,20,2.2,31,92.99332399999997
2,50,19947,21.833333333333336,48.000000000000014,8.333333333333334,0.38167938931297707,0.17361111111111108,45.11269837220806,1.3377406325592414,0.08373157114493039,0.014690209745840642,5.714285714285714,21,2.56,32,42.50437199999999
3,50,29920,18.166666666666664,48,8.333333333333334,0.4587155963302753,0.17361111111111113,42.04163056034259,1.2678525150820976,0.013930711387195503,0.002908887310931435,5.882352941176471,18,2.6,30,58.73938599999997
4,50,39893,20,48.00000000000001,8.333333333333334,0.4166666666666667,0.1736111111111111,46.69848480983496,1.3437447674316734,0.0885516834774546,0.04130171656002869,5.405405405405405,20,2.48,28,52.40202199999999
5,50,49866,17.499999999999996,27,8.333333333333334,0.47619047619047633,0.308641975308642,43.698484809834966,1.2861376287163049,0.024204801058701524,-0.0004113757814978214,6.25,20,2.6,30,46.635039000000006
6,50,59839,20.33333333333333,36,8.333333333333334,0.4098360655737706,0.2314814814814815,50.28427124746187,1.3155037058100594,0.06838848225158184,0.029527667120858452,5.2631578947368425,18,2.32,30,57.90225799999996
7,50,69812,15.66666666666666,36,8.333333333333334,0.5319148936170215,0.2314814814814815,46.870057685088774,1.279726533287484,0.030375625756113755,0.009385677773674668,6.25,18,2.44,29,78.83341199999995
8,50,79785,19,36,8.333333333333334,0.4385964912280702,0.2314814814814815,49.28427124746187,1.3541233326399775,0.11653229867135508,0.07623610524613063,5.714285714285714,20,2.36,29,77.16078900000002
9,50,89758,18.66666666666666,48,8.333333333333334,0.4464285714285716,0.17361111111111113,48.69848480983496,1.2823221124194963,0.020109817480727064,0.00017495167884988477,5.555555555555555,20,2.4,32,72.83458699999994
