# plancktons export
# algorithm_version=2
# commit=22ed7bd
# build_time=2026-05-17T18:03:34.013Z
# export_time=2026-05-17T18:03:34.726Z
# n_trials=500
# startSeed=1
# chiralityBias=0.5
# strategy=compact
# compactBeta=3
# N=50
trial,N,seed,V,Vbbox,Vstar,efficiency,bboxEfficiency,surface,rg,kappaSq,prolateness,meanCoord,maxCoord,meanTetCoord,chirR,ms
0,50,1,14.666666666666668,24,8.333333333333334,0.5681818181818181,0.34722222222222227,46.45584412271568,1.3964777119596288,0.10240239705290498,0.058728517684598816,6.0606060606060606,20,2.44,21,32.026823000000036
1,50,9974,17.666666666666664,36,8.333333333333334,0.4716981132075473,0.2314814814814815,44.94112549695424,1.4541836197674625,0.2132684674570769,0.19251576775163176,6.451612903225806,17,2.6,28,7.152691000000004
2,50,19947,14.666666666666663,32,8.333333333333334,0.5681818181818183,0.2604166666666667,40.6274169979695,1.3644962440402688,0.05253236356282426,0.013907566627767253,6.451612903225806,19,2.64,27,7.207222999999999
3,50,29920,13.999999999999996,36.000000000000014,8.333333333333334,0.5952380952380955,0.2314814814814814,41.6274169979695,1.3412121383286089,0.08061009002032102,0.0035791246263627828,6.666666666666667,24,2.6,21,7.860838999999999
4,50,39893,14.499999999999995,35.99999999999999,8.333333333333334,0.5747126436781612,0.23148148148148154,47.284271247461874,1.3285894776039742,0.06095562764283831,0.019853572205948775,6.666666666666667,22,2.44,25,12.700416000000018
5,50,49866,14.499999999999998,36.00000000000001,8.333333333333334,0.574712643678161,0.23148148148148145,47.94112549695424,1.370966812143897,0.11482563213484102,0.06329555618317323,6.666666666666667,18,2.48,30,8.455525999999963
6,50,59839,16.333333333333336,36,8.333333333333334,0.5102040816326531,0.2314814814814815,42.870057685088774,1.3729530217745975,0.053338305342329716,-0.002452095999089786,6.25,22,2.6,26,8.374965999999972
7,50,69812,15.666666666666666,35.99999999999999,8.333333333333334,0.5319148936170214,0.23148148148148154,42.87005768508877,1.3230079364841303,0.03460684893737581,0.002210837243670934,6.451612903225806,27,2.6,21,8.427012999999988
8,50,79785,13.499999999999995,36,8.333333333333334,0.6172839506172842,0.2314814814814815,50.52691193458115,1.362901317043901,0.0784096339274234,-0.022356171218509042,6.666666666666667,19,2.36,26,11.076964999999973
9,50,89758,16.499999999999993,47.99999999999999,8.333333333333334,0.5050505050505053,0.17361111111111116,44.284271247461874,1.3919410907075058,0.05508668470343417,0.014794686588567172,6.666666666666667,22,2.56,27,4.775638000000015
10,50,99731,16.333333333333332,36,8.333333333333334,0.5102040816326532,0.2314814814814815,42.284271247461874,1.374609035326045,0.03369838936098641,-0.009465962288835714,6.25,23,2.64,27,4.813058000000012
11,50,109704,15.83333333333333,27.00000000000001,8.333333333333334,0.5263157894736843,0.3086419753086419,44.87005768508878,1.3295675988831852,0.040914724744420254,0.008588656626912815,6.666666666666667,22,2.52,25,8.989689999999996
12,50,119677,20.999999999999996,35.99999999999999,8.333333333333334,0.3968253968253969,0.23148148148148154,47.87005768508877,1.4991497590300975,0.18625566917061614,0.11228001671580116,5.405405405405405,22,2.4,26,4.9122919999999795
13,50,129650,14.333333333333329,27,8.333333333333334,0.5813953488372096,0.308641975308642,43.69848480983496,1.2981332751301005,0.028279363786005113,0.006208813186785828,6.666666666666667,23,2.6,23,8.71665200000001
14,50,139623,16.999999999999996,36,8.333333333333334,0.4901960784313727,0.2314814814814815,48.76955262170043,1.3389361448553105,0.07167974885130222,0.03793423193658583,6.25,20,2.48,24,8.674554
15,50,149596,22.666666666666664,47.99999999999999,8.333333333333334,0.3676470588235295,0.17361111111111116,50.355339059327335,1.3900899251487286,0.05053179133908174,0.016921378145724704,5.405405405405405,19,2.4,28,8.648956000000055
16,50,159569,15.833333333333329,48,8.333333333333334,0.5263157894736844,0.17361111111111113,46.52691193458115,1.4492929310529328,0.17568358842221155,0.12353606389843808,6.666666666666667,22,2.52,27,7.963230000000067
17,50,169542,15.333333333333329,27,8.333333333333334,0.5434782608695654,0.308641975308642,46.11269837220806,1.30803287420462,0.035653972355974645,0.005908001671182205,6.451612903225806,25,2.52,30,5.8913239999999405
18,50,179515,15.999999999999993,35.99999999999999,8.333333333333334,0.5208333333333336,0.23148148148148154,50.52691193458114,1.4038340357748846,0.0824528763613101,0.03241453800106373,6.25,19,2.36,25,9.770132999999987
19,50,189488,11.833333333333329,27.000000000000004,8.333333333333334,0.7042253521126763,0.30864197530864196,36.213203435596405,1.305335205991166,0.05884258213330046,0.016873609722925474,6.896551724137931,20,2.8,24,8.425269999999955
20,50,199461,14.833333333333332,27.00000000000001,8.333333333333334,0.5617977528089888,0.3086419753086419,49.11269837220806,1.3309770847013107,0.08268919669152396,0.03683196012870081,6.25,19,2.4,28,13.696208999999953
21,50,209434,13.833333333333332,35.99999999999999,8.333333333333334,0.6024096385542169,0.23148148148148154,40.87005768508878,1.31154489057752,0.04225906431584084,0.004294007019927491,6.666666666666667,22,2.68,25,10.385026999999923
