# plancktons export
# algorithm_version=2
# commit=22ed7bd
# build_time=2026-05-17T18:04:41.006Z
# export_time=2026-05-17T18:04:41.649Z
# n_trials=100
# N=50
# startSeed=1
# chiralityBias=0.5
# strategy=compact
# compactBeta=3
# rMax=4
# nBins=60
# note=q4 g(r) ensemble average (compact β=3)
r,g_r,counts
0.03333333333333333,0,0
0.1,0,0
0.16666666666666669,0,0
0.23333333333333334,0,0
0.3,0,0
0.36666666666666664,3.214753643197864,5818
0.43333333333333335,0,0
0.5,1.362652132542532,4582
0.5666666666666667,0,0
0.6333333333333333,2.23127287149873,12024
0.7,0.8713123681440282,5716
0.7666666666666666,1.2940854346806634,10262
0.8333333333333334,0,0
0.9,0,0
0.9666666666666667,1.574783239566479,19828
1.0333333333333332,0.8751890587073039,12584
1.1,0.7129669050594027,11630
1.1666666666666665,0.3992476216040747,7320
1.2333333333333334,0.29891157961457465,6094
1.2999999999999998,0.6694501522028916,15160
1.3666666666666667,0.3117315239404181,7802
1.4333333333333331,0.537459300590576,14810
1.5,0.2892755558618388,8750
1.5666666666666664,0.3696498418382306,12136
1.6333333333333333,0.13827935537719027,4926
1.7000000000000002,0.1959959474041364,7558
1.7666666666666666,0.17992951637141227,7488
1.8333333333333335,0.2592187386078416,11634
1.9,0.11435365928511101,5514
1.9666666666666668,0.12591850233913482,6500
2.033333333333333,0.16784111921211328,9248
2.0999999999999996,0.05989858031318298,3524
2.166666666666667,0.07642552315853444,4756
2.2333333333333334,0.07380543415667304,4854
2.3,0.06990233514474624,4868
2.366666666666667,0.0398697023249539,2910
2.4333333333333336,0.03843759113788094,2968
2.5,0.03504256863263085,2858
2.5666666666666664,0.016494198073763414,1416
2.6333333333333337,0.013018694143849183,1170
2.7,0.023644114620798108,2228
2.7666666666666666,0.00925158566743378,922
2.833333333333333,0.008757127012933805,908
2.9000000000000004,0.011390904588725779,1218
2.966666666666667,0.006064048453452307,666
3.033333333333333,0.005378916895320287,620
3.0999999999999996,0.002215828377577384,270
3.166666666666667,0.002829926072438044,358
3.2333333333333334,0.0031020159924668982,402
3.3,0.0009566508962028178,130
3.366666666666667,0.0011475911791606203,166
3.4333333333333336,0.0004760546968780488,72
3.5,0.0007352086473527598,108
3.5666666666666664,0.0005654847226893796,90
3.6333333333333337,0.00020024749559090514,34
3.7,0.00013566749004118898,22
3.7666666666666666,0.00016781315812278936,30
3.833333333333333,0.00006942470511370673,14
3.9000000000000004,0.000059433140334501234,12
3.966666666666667,0.00001274468309007217,2
